,大概广电局也不知道该从哪里剪
,2011 + 2012 + 2013 + 2014 + 2015 + 2016，每年元旦的特别任务：观看《盗梦空间》！新年观影，愉悦心情！—— 我是有多幸福，在我现今的生活里，能有两个家伙矢志不渝地陪伴在我身边，带给我无穷无尽的快乐和感动！能爱上他们，是我这辈子最幸运、最开心的事情！电影 + 音乐，我爱你们！永远！永远！
,伟大的编剧，能有这么奇思妙想的构思。
,问：达伦·阿伦诺夫斯基和克里斯托弗·诺兰有什么相同之处和不同之处？答：相同之处是两人都抄袭过今敏，不同之处是一个承认了，一个不承认。    这电影难看吗？正好相反，它极具观赏性，但这种创作态度，就是不对。
,当初跟风看的这部电影，虽为达到自己的期望值，不过确实挺好看的。Do you remember how you got here ?
,伟大的导演，伟大的编剧，给我们编织了一个不可思议的梦，所以我们是在现实还是梦？
,太烧脑了，看了好几次才能看懂，脑子变笨了，哈哈哈！
,经典
,没看到底。
,久久不能忘怀……
,忙忙碌碌的回忆
,不错不错
,我都要看晕了……梦境一层套一层，挺烧脑的。
,天呐，这个简直太烧脑太烧脑了…说实话，我是真的没看懂，然后越看不懂就越看不进去了……但这电影质感是真不错…
,在冷漠的时间刻度与等价的时间交换面前，我们唯有放弃对时间的真实感受，才能够减缓痛苦、延长快乐。始终觉得诺兰的电影是反立意深度、反人物塑造、甚至反戏剧逻辑的，他更加看重的是原始的情感动力与极致的视觉轰炸对观众感官的欺骗与麻醉。换言之，情绪上克制的表达、叙事上细节的思考与动作戏清晰的调度并不有助于高概念的成功洗脑。可以类比为乘坐海盗船，说白了不就是像钟摆一样左右摆动嘛，但真的坐上去了，整船人还是会忍不住发出鸡叫。
,时隔七年再刷，深觉无趣。
,看的是零点首映。概念先行的动作片，节奏混乱昏昏欲睡。《红辣椒》《eXistenZ》等等一堆电影在概念上的简单抄袭混杂。线性推进+“最后一分钟营救“，典型经典好莱坞叙事，你妈逼的开创新式叙事结构。烂番茄87%，metacritic综评74分，都不算很高的分数。我不黑你黑谁？
,映像最深刻的就是那个陀螺，以陀螺是否能停判定是否在梦里。
,某种原因我只能给三星
,太烧脑了，高中时候老师给看的，分了好几次看完的，没看懂，有机会会再好好看一遍
,讲真看不太懂，没法给高评分
,突然地，我迷幻了，我不再惧怕死亡了～
,梦中梦。诺兰太牛了，再加上小李子，完美!
,话就不多说了，一部电影能拍成这样，令人膜拜~
,很难看懂，耗费了我不少脑细胞，三重梦境，一环又一环犹如陀螺一般停不下来，陷入层层轮回当中。如果你愿意相信平行宇宙，愿意相信那里有另一个你，过着你梦想中的生活，那谁还愿意醒来呢？
,全程无尿点，好看！！！！！
,你最好无须在观影前过多参与剧情解析，相信经历过原始诺兰的《追随》、疯狂倒叙的《失忆》、隐线极深的《魔道》以及道德哲学的《黑骑士》。《奠基》不会更隐晦到让你失眠。我的观影建议：享受诺兰近乎完美的画面哲学，听得懂英文的请无视字幕，不要错过一些被严肃剧情隐藏的幽默，最后，不要剧透。
,莱昂纳多·迪卡普里奥主演 很烧脑的一部作品 看着👀着我就睡着了 😭😭😭再看又睡着了 啊好吧 我看不明白😭😭
,应该再看一遍
,超爱
,包着糖衣的老鼠药
,我看懂了 哈哈 
,目不转睛地看。。。
,科幻片的一个小巅峰
,迷迷糊糊
,梦中梦，梦里梦···
,做计要再看一遍，才能懂。
,大片！超爱！更别说里面那么多我爱的演员了！
,特效好，惊艳
,诺兰大叔的片子，还是他自己的风格，明明很难懂却无法阻止对他的爱，这样的佳作也只有诺兰拍的出来
,黑客帝国后好莱坞最佳科幻片。融入了庄周梦蝶式哲思、杨过离开古墓式情感探讨，展现了逻辑的魅力、开拓了电影表达的疆界，在最后一刻结构和情感的张力逐层引爆至顶点，让人惊叹。故事结局其实早有解答：只要我们在一起，火车是通往虚幻还是真实并不重要，一切取决于我们相信与否。小李只是不愿看清现实
,非线性叙事的电影手法在《盗梦空间》中得以最为契合剧情架构的呈现，环环相扣的多重梦境，编制了一张逻辑夯实的巨网，诺兰在这部作品中取巧之处在于，每一个人都能看懂电影，但却又让人感慨“一千个读者眼里有一千个哈姆雷特”。
,烧脑的剧情
,感觉很神幻，真的挺好的，让人很容易入情
,great loop~ 你们都被INCEPTION了。。。。
,梦中与你百年携手，醒来我却未曾白头。
,"You&#39;re waiting for a train, a train that will take you far away. You know where you hope this train will take you, but you can&#39;t be sure"
,为嘛！为嘛这个片子这么高分！
,【重看2020.01.28】
,时隔十年重看。诺兰大师不要打啦，我看不清谁打谁，前两层被晃晕，第三层还蒙着脸。总之知道你们打得很激烈这件事就行了吧？
,“要做梦就做大胆一点”，憋尿2个半小时看完了，讲打怪升级的故事。
,和刘海亮汀汀他们一起看的~
,我似个没文化的 不能理解。。。
,印象最深的是梅尔的死，究竟是谁断送的，那个不停旋转的陀螺，现实与梦境的混淆……
,梅雨晚秋，我记得的。
,谁又能说，现实不是梦境。”Do you remember how you got here?
,科幻就是能够无休止的满足你的幻想。却也让你无限的失望。你追逐却也达不到的世界。
,梦中的梦中！其实我觉得结局应该给得很明确啊，陀螺倒了的声音，为什么好多人还会纠结现实还是梦境呢？还是看电影时没等到字幕的最后？
,脑细胞不够用没看懂  但是特效演员确实很震撼呐 题材也新颖
,梦中梦，分不清现实与梦境，如果心有执念那么梦里梦外更难分辨。
,仅就这部来说，算是文本复杂性游戏性到一定极端高度，但另一方面调度和表演又都比较简陋。2020.5.15@盛世嘉园//2010.X with 处女女// 2010.9.19 美嘉with处女男
,五層(六層？)的套盒結構的確懾人，但怎麼每一層潛意識都是陳舊的槍戰、槍戰、槍戰？荷里活類型片已佔據了潛意識的每一區嗎……
,越往后看，越觉得自己的大脑不够用的，敬佩编剧。
